ID,Date,Turbidity,pH,Dissolved Oxygen,Conductivity,Temperature,WQI,WQI Class
101,20/06/2019 11:24,201.35,2.31,9.31,909.32,29.67,10,Class 6 - Very Polluted Water
102,20/06/2019 11:24,201.35,2.31,9.31,909.32,29.67,13,Class 6 - Very Polluted Water
103,20/06/2019 11:27,126.68,2.35,10.1,1022.98,29.48,6,Class 6 - Very Polluted Water
104,20/06/2019 11:27,126.68,2.35,10.1,1022.98,29.48,8,Class 6 - Very Polluted Water
105,20/06/2019 11:28,107.67,2.42,9.05,795.65,29.67,11,Class 6 - Very Polluted Water
106,20/06/2019 11:28,107.67,2.42,9.05,795.65,29.67,15,Class 6 - Very Polluted Water
107,20/06/2019 11:29,238.68,2.35,9.24,833.54,29.67,15,Class 6 - Very Polluted Water
108,20/06/2019 11:29,238.68,2.35,9.24,833.54,29.67,15,Class 6 - Very Polluted Water
109,20/06/2019 11:30,204.74,1.74,9.39,1136.65,29.48,7,Class 6 - Very Polluted Water
110,20/06/2019 11:30,204.74,1.74,9.39,1136.65,29.48,12,Class 6 - Very Polluted Water
111,23/06/2019 08:50,33,6.91,7.67,1818.64,29.48,57,Class 5 - Polluted Water
112,23/06/2019 08:50,33,6.91,7.67,1818.64,29.48,57,Class 5 - Polluted Water
113,23/06/2019 08:51,34.35,6.64,8.62,1970.19,29.48,53,Class 5 - Polluted Water
114,23/06/2019 08:51,34.35,6.64,8.62,1970.19,29.48,53,Class 5 - Polluted Water
115,23/06/2019 08:52,45.89,5.58,9.62,2765.84,29.39,26,Class 6 - Very Polluted Water
116,23/06/2019 08:52,45.89,5.58,9.62,2765.84,29.39,36,Class 6 - Very Polluted Water
117,23/06/2019 08:53,48.61,6.34,9.36,2121.74,29.48,33,Class 6 - Very Polluted Water
118,23/06/2019 08:53,48.61,6.34,9.36,2121.74,29.48,45,Class 5 - Polluted Water
119,23/06/2019 08:54,52,6.64,9.31,2159.63,29.48,50,Class 5 - Polluted Water
120,23/06/2019 08:54,52,6.64,9.31,2159.63,29.48,50,Class 5 - Polluted Water
121,23/06/2019 08:54,40.46,6.61,9.5,2159.63,29.39,37,Class 6 - Very Polluted Water
122,23/06/2019 08:54,40.46,6.61,9.5,2159.63,29.39,51,Class 5 - Polluted Water
123,23/06/2019 08:57,31.64,6.64,9.62,2121.74,29.48,39,Class 6 - Very Polluted Water
124,23/06/2019 08:57,31.64,6.64,9.62,2121.74,29.48,54,Class 5 - Polluted Water
125,23/06/2019 09:36,68.3,6.91,9.34,2121.74,29.29,37,Class 6 - Very Polluted Water
126,23/06/2019 09:36,68.3,6.91,9.34,2121.74,29.29,51,Class 5 - Polluted Water
127,23/06/2019 11:45,54.04,7.63,2.04,1515.53,30.7,41,Class 6 - Very Polluted Water
128,23/06/2019 11:45,54.04,7.63,2.04,1515.53,30.7,56,Class 5 - Polluted Water
129,23/06/2019 11:46,60.83,7.06,2.11,1439.75,30.89,38,Class 6 - Very Polluted Water
130,23/06/2019 11:46,60.83,7.06,2.11,1439.75,30.89,53,Class 5 - Polluted Water
131,23/06/2019 11:46,35.03,7.37,1.99,1326.09,30.79,43,Class 6 - Very Polluted Water
132,23/06/2019 11:46,35.03,7.37,1.99,1326.09,30.79,60,Class 5 - Polluted Water
133,23/06/2019 11:47,56.76,7.44,1.95,1363.98,30.89,40,Class 6 - Very Polluted Water
134,23/06/2019 11:47,56.76,7.44,1.95,1363.98,30.89,56,Class 5 - Polluted Water
135,23/06/2019 11:49,38.43,7.14,2.04,1515.53,30.98,42,Class 6 - Very Polluted Water
136,23/06/2019 11:49,38.43,7.14,2.04,1515.53,30.98,58,Class 5 - Polluted Water
137,23/06/2019 12:55,38.43,7.56,2.49,1098.76,30.79,42,Class 6 - Very Polluted Water
138,23/06/2019 12:55,38.43,7.56,2.49,1098.76,30.79,58,Class 5 - Polluted Water
139,23/06/2019 13:24,29.6,7.18,2.76,1363.98,32.11,44,Class 6 - Very Polluted Water
140,23/06/2019 13:24,29.6,7.18,2.76,1363.98,32.11,61,Class 5 - Polluted Water
141,23/06/2019 13:25,52,6.8,2.95,1704.97,31.26,38,Class 6 - Very Polluted Water
142,23/06/2019 13:25,52,6.8,2.95,1704.97,31.26,52,Class 5 - Polluted Water
143,23/06/2019 13:27,47.93,7.21,2.73,1363.98,31.17,41,Class 6 - Very Polluted Water
144,23/06/2019 13:27,47.93,7.21,2.73,1363.98,31.17,57,Class 5 - Polluted Water
145,23/06/2019 13:28,44.54,7.25,2.73,1401.87,31.17,57,Class 5 - Polluted Water
146,23/06/2019 13:28,44.54,7.25,2.73,1401.87,31.17,57,Class 5 - Polluted Water
147,23/06/2019 13:29,54.04,6.95,2.83,1629.2,31.92,39,Class 6 - Very Polluted Water
148,23/06/2019 13:29,54.04,6.95,2.83,1629.2,31.92,54,Class 5 - Polluted Water
149,23/06/2019 13:31,48.61,7.25,2.76,1401.87,30.98,41,Class 6 - Very Polluted Water
150,23/06/2019 13:31,48.61,7.25,2.76,1401.87,30.98,57,Class 5 - Polluted Water
151,23/06/2019 13:32,37.75,7.21,2.76,1401.87,31.07,42,Class 6 - Very Polluted Water
152,23/06/2019 13:32,37.75,7.21,2.76,1401.87,31.07,59,Class 5 - Polluted Water
153,23/06/2019 13:33,53.36,7.21,2.8,1401.87,30.98,40,Class 6 - Very Polluted Water
154,23/06/2019 13:33,53.36,7.21,2.8,1401.87,30.98,56,Class 5 - Polluted Water
155,23/06/2019 13:36,50.65,7.21,2.8,1326.09,31.07,41,Class 6 - Very Polluted Water
156,23/06/2019 13:36,50.65,7.21,2.8,1326.09,31.07,56,Class 5 - Polluted Water
157,23/06/2019 13:40,49.97,6.99,2.9,1477.64,31.92,40,Class 6 - Very Polluted Water
158,23/06/2019 13:40,49.97,6.99,2.9,1477.64,31.92,55,Class 5 - Polluted Water
159,23/06/2019 13:44,43.86,7.25,2.8,1326.09,31.07,42,Class 6 - Very Polluted Water
160,23/06/2019 13:44,43.86,7.25,2.8,1326.09,31.07,58,Class 5 - Polluted Water
165,24/09/2019 15:37,614.08,3.26,17.04,31333.59,30.14,7,Class 6 - Very Polluted Water
166,24/09/2019 15:37,614.08,3.26,17.04,31333.59,30.14,9,Class 6 - Very Polluted Water
193,13/10/2019 16:12,45.22,1.93,1.46,1780.75,24.84,21,Class 6 - Very Polluted Water
194,13/10/2019 16:12,45.22,1.93,1.46,1780.75,24.84,32,Class 6 - Very Polluted Water
195,13/10/2019 16:12,58.11,1.97,1.46,1591.31,24.93,17,Class 6 - Very Polluted Water
196,13/10/2019 16:12,58.11,1.97,1.46,1591.31,24.93,27,Class 6 - Very Polluted Water
197,13/10/2019 16:13,53.36,1.74,1.46,1704.97,24.84,17,Class 6 - Very Polluted Water
198,13/10/2019 16:13,53.36,1.74,1.46,1704.97,24.84,29,Class 6 - Very Polluted Water
199,13/10/2019 16:13,41.82,1.7,1.46,1742.86,24.84,33,Class 6 - Very Polluted Water
200,13/10/2019 16:13,41.82,1.7,1.46,1742.86,24.84,33,Class 6 - Very Polluted Water
201,13/10/2019 16:13,41.14,1.89,1.46,1553.42,24.84,33,Class 6 - Very Polluted Water
202,13/10/2019 16:13,41.14,1.89,1.46,1553.42,24.84,33,Class 6 - Very Polluted Water
203,13/10/2019 16:13,42.5,1.89,1.46,1629.2,24.84,33,Class 6 - Very Polluted Water
204,13/10/2019 16:13,42.5,1.89,1.46,1629.2,24.84,33,Class 6 - Very Polluted Water
205,13/10/2019 16:13,58.11,1.93,1.46,1667.08,24.84,27,Class 6 - Very Polluted Water
206,13/10/2019 16:13,58.11,1.93,1.46,1667.08,24.84,27,Class 6 - Very Polluted Water
207,13/10/2019 16:13,49.29,1.93,1.46,1704.97,24.84,30,Class 6 - Very Polluted Water
208,13/10/2019 16:13,49.29,1.93,1.46,1704.97,24.84,30,Class 6 - Very Polluted Water
209,13/10/2019 16:13,62.87,1.66,1.46,1856.52,24.84,26,Class 6 - Very Polluted Water
210,13/10/2019 16:13,62.87,1.66,1.46,1856.52,24.84,26,Class 6 - Very Polluted Water
211,13/10/2019 16:13,57.43,1.62,1.46,1704.97,24.74,17,Class 6 - Very Polluted Water
212,13/10/2019 16:13,57.43,1.62,1.46,1704.97,24.74,28,Class 6 - Very Polluted Water
213,13/10/2019 16:13,45.89,1.89,1.46,1704.97,24.74,31,Class 6 - Very Polluted Water
214,13/10/2019 16:13,45.89,1.89,1.46,1704.97,24.74,31,Class 6 - Very Polluted Water
215,13/10/2019 16:13,52,1.74,1.46,1629.2,24.74,30,Class 6 - Very Polluted Water
216,13/10/2019 16:13,52,1.74,1.46,1629.2,24.74,30,Class 6 - Very Polluted Water
217,13/10/2019 16:24,45.89,2.35,1.46,1780.75,25.67,14,Class 6 - Very Polluted Water
218,13/10/2019 16:24,45.89,2.35,1.46,1780.75,25.67,19,Class 6 - Very Polluted Water
219,13/10/2019 16:24,45.89,2.31,1.46,1742.86,25.58,14,Class 6 - Very Polluted Water
220,13/10/2019 16:24,45.89,2.31,1.46,1742.86,25.58,19,Class 6 - Very Polluted Water
227,13/10/2019 16:37,32.32,1.62,1.46,1022.98,25.58,37,Class 6 - Very Polluted Water
228,13/10/2019 16:37,32.32,1.62,1.46,1022.98,25.58,37,Class 6 - Very Polluted Water
229,13/10/2019 16:37,40.46,2.16,1.46,1439.75,25.49,15,Class 6 - Very Polluted Water
230,13/10/2019 16:37,40.46,2.16,1.46,1439.75,25.49,20,Class 6 - Very Polluted Water
231,13/10/2019 16:38,45.89,2.04,1.46,1629.2,25.49,19,Class 6 - Very Polluted Water
232,13/10/2019 16:38,45.89,2.04,1.46,1629.2,25.49,19,Class 6 - Very Polluted Water
233,13/10/2019 16:38,41.82,2.12,1.46,1553.42,25.49,20,Class 6 - Very Polluted Water
234,13/10/2019 16:38,41.82,2.12,1.46,1553.42,25.49,20,Class 6 - Very Polluted Water
235,13/10/2019 16:38,35.03,1.93,1.46,1477.64,25.58,21,Class 6 - Very Polluted Water
236,13/10/2019 16:38,35.03,1.93,1.46,1477.64,25.58,35,Class 6 - Very Polluted Water
237,13/10/2019 16:38,37.75,2,1.46,1098.76,25.49,15,Class 6 - Very Polluted Water
238,13/10/2019 16:38,37.75,2,1.46,1098.76,25.49,21,Class 6 - Very Polluted Water
239,13/10/2019 16:38,29.6,2.12,1.46,1288.2,25.49,23,Class 6 - Very Polluted Water
240,13/10/2019 16:38,29.6,2.12,1.46,1288.2,25.49,23,Class 6 - Very Polluted Water
241,13/10/2019 16:38,39.78,1.93,1.46,1553.42,25.49,33,Class 6 - Very Polluted Water
242,13/10/2019 16:38,39.78,1.93,1.46,1553.42,25.49,33,Class 6 - Very Polluted Water
243,13/10/2019 16:39,30.96,2.16,1.46,1288.2,25.49,22,Class 6 - Very Polluted Water
244,13/10/2019 16:39,30.96,2.16,1.46,1288.2,25.49,22,Class 6 - Very Polluted Water
245,13/10/2019 16:39,52,2,1.46,1477.64,25.49,18,Class 6 - Very Polluted Water
246,13/10/2019 16:39,52,2,1.46,1477.64,25.49,18,Class 6 - Very Polluted Water
247,13/10/2019 16:39,34.35,1.97,1.46,1477.64,25.49,36,Class 6 - Very Polluted Water
248,13/10/2019 16:39,34.35,1.97,1.46,1477.64,25.49,36,Class 6 - Very Polluted Water
249,13/10/2019 16:39,37.75,2.08,1.46,1515.53,25.49,21,Class 6 - Very Polluted Water
250,13/10/2019 16:39,37.75,2.08,1.46,1515.53,25.49,21,Class 6 - Very Polluted Water
251,13/10/2019 16:39,53.36,1.78,1.46,1439.75,25.49,29,Class 6 - Very Polluted Water
252,13/10/2019 16:39,53.36,1.78,1.46,1439.75,25.49,29,Class 6 - Very Polluted Water
253,13/10/2019 16:39,34.35,2,1.46,1098.76,25.49,22,Class 6 - Very Polluted Water
254,13/10/2019 16:39,34.35,2,1.46,1098.76,25.49,22,Class 6 - Very Polluted Water
255,13/10/2019 16:40,47.25,2.23,1.46,1250.31,25.58,14,Class 6 - Very Polluted Water
256,13/10/2019 16:40,47.25,2.23,1.46,1250.31,25.58,19,Class 6 - Very Polluted Water
327,16/10/2019 08:01,51.33,2.99,1.46,1591.31,24.37,14,Class 6 - Very Polluted Water
328,16/10/2019 08:01,51.33,2.99,1.46,1591.31,24.37,19,Class 6 - Very Polluted Water
329,16/10/2019 08:01,51.33,3.18,1.46,1477.64,24.37,19,Class 6 - Very Polluted Water
330,16/10/2019 08:01,51.33,3.18,1.46,1477.64,24.37,19,Class 6 - Very Polluted Water
331,16/10/2019 08:01,63.54,3.11,1.46,1856.52,24.37,17,Class 6 - Very Polluted Water
332,16/10/2019 08:01,63.54,3.11,1.46,1856.52,24.37,17,Class 6 - Very Polluted Water
333,16/10/2019 08:01,43.18,3.11,1.46,1439.75,24.37,20,Class 6 - Very Polluted Water
334,16/10/2019 08:01,43.18,3.11,1.46,1439.75,24.37,20,Class 6 - Very Polluted Water
335,16/10/2019 08:02,47.25,3.11,1.46,1667.08,24.37,20,Class 6 - Very Polluted Water
336,16/10/2019 08:02,47.25,3.11,1.46,1667.08,24.37,20,Class 6 - Very Polluted Water
337,16/10/2019 08:02,52,3.11,1.46,1477.64,24.37,19,Class 6 - Very Polluted Water
338,16/10/2019 08:02,52,3.11,1.46,1477.64,24.37,19,Class 6 - Very Polluted Water
339,16/10/2019 08:02,59.47,3.07,1.46,1477.64,24.37,17,Class 6 - Very Polluted Water
340,16/10/2019 08:02,59.47,3.07,1.46,1477.64,24.37,17,Class 6 - Very Polluted Water
341,16/10/2019 08:02,56.08,3.03,1.46,1439.75,24.37,18,Class 6 - Very Polluted Water
342,16/10/2019 08:02,56.08,3.03,1.46,1439.75,24.37,18,Class 6 - Very Polluted Water
343,16/10/2019 08:02,43.18,2.96,1.46,1439.75,24.37,20,Class 6 - Very Polluted Water
344,16/10/2019 08:02,43.18,2.96,1.46,1439.75,24.37,20,Class 6 - Very Polluted Water
